City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,Poum,-20.2333,164.0167,76.08,69,14,4.79,NC,2021-10-30 22:33:11
279,Nome,64.5011,-165.4064,17.67,58,1,0.0,US,2021-10-30 22:33:11
280,Gazanjyk,39.2446,55.5154,53.74,53,64,9.22,TM,2021-10-30 22:32:11
281,Palu,-0.8917,119.8707,77.23,93,99,1.48,ID,2021-10-30 22:33:12
282,Kursavka,44.4564,42.5093,43.61,89,1,12.86,RU,2021-10-30 22:33:12
283,Provideniya,64.3833,-173.3,15.21,73,90,9.78,RU,2021-10-30 22:33:12
284,Ostrovnoy,68.0531,39.5131,34.5,96,100,6.64,RU,2021-10-30 22:33:12
285,Mgandu,-5.95,34.1333,69.22,59,85,8.1,TZ,2021-10-30 22:33:13
286,Derbent,42.0678,48.2899,53.35,84,79,8.21,RU,2021-10-30 22:33:13
287,Gushikawa,26.3544,127.8686,72.63,86,20,3.44,JP,2021-10-30 22:33:13
288,Lebu,-37.6167,-73.65,53.06,82,100,13.6,CL,2021-10-30 22:33:14
289,Sur,22.5667,59.5289,79.72,66,5,11.07,OM,2021-10-30 22:33:14
290,Yhu,-25.05,-55.9167,67.21,96,100,4.94,PY,2021-10-30 22:33:14
291,Non Sang,16.8687,102.5664,75.31,91,93,1.3,TH,2021-10-30 22:33:15
